cyclobutanone_concentration (mM),induction time (s),time(s),CO_Conc(ppm)_10mM,CO_Conc(ppm)_20mM,CO_Conc(ppm)_40mM,CO_Conc(ppm)_80mM,CO_Conc(ppm)_160mM
10,60,60,11,15,21,19,30
20,48,90,31,38,55,71,92
40,32,120,61,69,105,150,184
80,47,150,97,108,162,240,291
160,30,180,137,153,219,338,401
,,210,177,194,281,429,509
,,240,215,238,344,523,623
,,270,254,280,404,615,733
,,300,291,321,461,708,842
,,330,327,362,519,799,942
,,360,366,403,575,889,1000
,,390,399,442,631,974,
,,420,433,480,685,1000,
,,450,465,517,739,,
,,480,497,556,789,,
,,510,532,592,840,,
,,540,559,626,888,,
,,570,586,660,935,,
,,600,615,696,985,,
,,630,637,727,,,
,,660,662,760,,,
,,690,679,789,,,
,,720,701,820,,,
,,750,722,849,,,
,,780,741,878,,,
,,810,758,905,,,
,,840,775,932,,,
,,870,792,957,,,
,,900,807,985,,,
,,930,821,,,,
,,960,834,,,,
,,990,849,,,,
,,1020,861,,,,
,,1050,873,,,,
,,1080,888,,,,
,,1110,898,,,,
,,1140,909,,,,
,,1170,919,,,,
,,1200,927,,,,
,,1230,939,,,,
,,1260,948,,,,
,,1290,958,,,,
,,1320,970,,,,
,,1350,980,,,,
,,1380,1000,,,,